year,ppi_04
1993,47.07418028141179
1994,47.90342573668743
1995,50.05780206559254
1996,50.42775158019327
1997,51.677784455075766
1998,50.686694741159684
1999,49.64580027448964
2000,50.317845406531625
2001,50.1043431039936
2002,82.76362051634143
2003,94.84976701341739
2004,100.0
2005,108.26280620109088
2006,118.87504353189814
2007,132.07406030925802
2008,158.48373888150712
2009,174.79247410725796
2010,213.37517821982658
2011,259.9721231674409
2012,311.2007884500572
2013,383.89479838327486
2014,544.1769482968084
2015,674.1495761047477
2016,938.5766216193042
2017,1128.1039680276347
2018,1795.541732503036
2019,2694.1736299641616
2020,3906.6345745262624
2021,6180.601690839486
2022,10454.31561399619
