year,gcia_tot,stock_tot,cons_k_maq,cons_k_const,stock_k_maq,stock_k_const,tg_tot,deprec_coef
1993,55353.87092321717,661681.7382849306,11005.45,13781.520000000004,130006.6627297512,454663.8515732477,0.08365633766271621,0.042394766614063314
1994,77516.67998228477,688989.9631130089,11481.283815446917,14232.058135834555,139194.73094723048,470683.451394283,0.1125077056740381,0.042161439277201056
1995,80351.09124226368,735334.9709542183,12083.027058256042,15636.830300999613,143207.8860316319,512563.8006429615,0.10927141291538861,0.04227059191869438
1996,98597.45745083585,741016.07090932,12214.487684192589,15709.859449414316,145702.72095086446,514172.1525097394,0.13305711079902,0.04231763968699447
1997,113183.36211206958,760287.1609651503,12293.871784578336,15855.895601802491,151803.31529186163,520701.81559915835,0.14886922721197657,0.04185807080621742
1998,115651.77559814762,783293.6812298691,12640.785566523251,16230.277437494287,157843.20135423378,534297.1193628537,0.14764803849376118,0.04171273098799657
1999,107434.11366738027,786166.1628757595,12679.12827293537,16660.172291641906,155999.18876364364,544507.4623995228,0.13665573353397867,0.04188297215431204
2000,113074.87696987006,775130.427722127,12191.883715702748,16553.481823522456,152716.69348185035,537550.9450248952,0.14587851660289328,0.04164379718193075
2001,108361.18394124841,760060.9838618665,12075.781360888986,16479.159415265956,149038.71340407693,530215.3617320795,0.14256906516983112,0.042038674218378605
2002,130480.44875281266,1108441.1735012117,24642.523195187416,22512.967924124045,288580.0629116831,708692.0168263805,0.11771526705442256,0.04728447940876575
2003,160261.38942339056,1237620.520960541,25240.850901690545,25793.189733321415,292314.32398994366,810136.0070883248,0.12949154180071984,0.046291464745715424
2004,178162.28093078893,1412924.8525313274,26924.107663331688,29829.263623606348,316199.61630924226,937410.0557224381,0.12609466144756534,0.04527196347724398
2005,212111.50956980756,1665215.6394989763,29404.166888236457,35901.86824898896,350055.5540234041,1126364.656391892,0.12737780293345483,0.04423268841521464
2006,255942.18118052345,1980076.6566371142,33524.1780033443,42643.3380124866,405343.2241915379,1339494.854025179,0.1292587235562919,0.04365305696083654
2007,313389.41132563236,2351794.4532170244,37217.30472235332,50565.46223283176,470526.17530746787,1593454.187935843,0.13325544283725405,0.04253081498180749
2008,396116.96261796023,2913605.961077091,42989.83924211145,63007.82189636619,559141.6335779113,1990798.1913705622,0.13595419830604863,0.04156869119082822
2009,344386.94552427245,3389569.0090368586,52269.06374227599,74646.30326514797,653294.6616055524,2326410.888085526,0.10160198674406973,0.042593257921267405
2010,505735.6719748884,4109595.016313944,60135.011665872815,90071.93051786127,770595.6728445686,2813173.3034443464,0.12306216791855623,0.04191312084499298
2011,653300.0858770625,5222286.879607585,69554.2158062843,115562.7090158957,921360.201374265,3616627.6534370207,0.12509846757521545,0.04079273253803765
2012,706599.4501768127,6437824.346957428,86317.65860904113,142961.54406738616,1144434.212103018,4453025.447464015,0.1097574913659702,0.040961296127351124
2013,844919.935769607,8488744.920523278,115480.47209327012,189263.89887582848,1548902.2359283145,5870069.708553063,0.09953414122820914,0.04107636115213827
2014,1253365.2780617075,12148916.43216553,175606.0318969199,272462.8462707899,2346929.201461114,8399536.914929882,0.10316683673478003,0.04169453225970674
2015,1580130.3770166594,15474672.483953435,223431.35804912858,348103.94552125974,2986594.826192848,10684935.92917976,0.10211074765266832,0.04180477766513363
2016,2273617.555849204,21123117.67134969,328551.53805984,475722.66202488437,4382784.34022349,14426033.856363937,0.10763645742186163,0.04276048562320878
2017,2888442.924714994,27115755.957918596,388250.69207015954,615345.268609034,5289350.568752594,18609893.858859286,0.10652267741299995,0.0419927903461121
2018,4480742.76308437,39384768.29235151,576688.5921998151,898140.8827141728,7835071.073339771,27033827.004562847,0.11376841752181964,0.04229641761603668
2019,6351657.563333066,61068309.00445936,1008047.0866368552,1377186.8251219136,13261290.95376155,41182605.44921437,0.10400906242334715,0.043810859790490514
2020,7474512.697814911,87738242.57117131,1682938.786193331,1955341.1254277497,21551079.398166988,57709282.65575997,0.08519104644422017,0.04590289291317742
2021,13217551.212249678,141102311.91236323,2632905.081000685,3151687.93523248,33626482.70947612,93418312.38981043,0.0936735269118689,0.04553191661029842
