,year,IPC,TCC,index_TCP_1,index_TCP_2,TCP_1,TCP_2
2,1991,0.4580002253292597,0.95,1.7789473684210526,1.6736842105263159,1.69,1.59
3,1992,0.5720420529319993,0.99,1.9271241548536908,1.9474984870391483,1.9078529133051538,1.9280235021687568
4,1993,0.6327443694044567,0.99,1.997278184582081,2.0914715565656103,1.9773054027362602,2.0705568409999544
5,1994,0.6591762379277952,1,1.8254204172054214,2.102388879797266,1.8254204172054214,2.102388879797266
6,1995,0.681430677311085,0.99,1.8849043903143219,2.134975496961447,1.8660553464111787,2.1136257419918323
7,1996,0.6824915137233457,1,1.7121776600551892,2.0564885624307663,1.7121776600551892,2.0564885624307663
8,1997,0.6860990801898499,1,1.692647974275886,2.020838681369841,1.692647974275886,2.020838681369841
9,1998,0.6924432006185063,1,1.828310974620582,2.00878715905479,1.828310974620582,2.00878715905479
10,1999,0.6843646253912904,1,1.9420481763890327,1.9423035935336923,1.9420481763890327,1.9423035935336923
11,2000,0.6779377065296085,1,1.9542106316288086,1.8611115419708282,1.9542106316288086,1.8611115419708282
12,2001,0.6707142570277079,1,2.060598529734818,1.7902180676639496,2.060598529734818,1.7902180676639496
13,2002,0.8442182845809035,3.14,0.9941158842965611,0.7066666934948361,3.1215238766912017,2.2189334175737856
14,2003,0.9577077593232352,2.93,1.2378096178732818,0.8402254851792774,3.626782180368716,2.461860671575283
15,2004,1,2.93,1.2035224460529526,0.8545070696306212,3.526320766935151,2.50370571401772
16,2005,1.0964239819992485,2.928416666666667,1.3501430843732851,0.9063353378572974,3.953781510663468,2.6541275089702743
17,2006,1.2158951666873792,3.0777499999999995,1.344359568048199,0.9263972315392778,4.1376026605603435,2.851219079370012
18,2007,1.4301885530069212,3.1191666666666666,1.4597207637984138,1.045406646701571,4.553112349081219,3.260797565503317
19,2008,1.8171998268522611,3.1831666666666667,1.7492073402923984,1.2535363609397792,5.56801849870742,3.9902151595981405
20,2009,2.0822573595387337,3.75,1.8840630492383101,1.223506415269924,7.065236434643663,4.588149057262215
21,2010,2.563041947849803,3.89,1.9955236223549513,1.4283430244428186,7.762586890960761,5.556254365082564
22,2011,3.163671681030504,4.11,2.250516835756798,1.6176849656438348,9.249624194960441,6.648685208796161
23,2012,3.9120057032833038,4.552518519,2.645295065688402,1.7692344305123848,12.042754774765772,8.054472509360052
24,2013,4.90914244141516,5.49,2.7039072200168492,1.8144801867546825,14.844450637892503,9.961496225283208
25,2014,6.802796220329471,8.1236,2.6256536160227677,1.6721521353828568,21.329759715122556,13.583895086996176
26,2015,8.56869511954671,9.43,2.687444409628227,1.8053785023032782,25.34260078279418,17.024719276719914
27,2016,12.115232433931457,14.77744618867244,2.474870697695416,1.6086191011435709,36.572268559116225,23.771282205219748
28,2017,15.342177333550014,16.556716666666663,2.8553079528392846,1.7802410014029917,47.27452477124005,29.474945858612262
29,2018,20.59241032452324,28.112430345117847,2.2739457489217654,1.3737089798793134,63.926141475139964,38.61829801132009
30,2019,31.4315481565974,48.25485833333334,2.0687401540599253,1.1998081427071416,99.82676306263988,57.89657195351291
31,2020,44.11803428009902,70.63476524170274,2.253124766700758,1.1346104260750742,159.1489389561743,80.14294108660118
32,2021,64.94087545664176,95.09325,1.9041550487208627,1.159401326959528,181.07229208677518,110.25124023489414
